UTC_Offset,Timezone
-9.5,(UTC-09:30) マルキーズ諸島
-8,(UTC-08:00) 太平洋標準時 (米国およびカナダ)
-7,(UTC-07:00) 太平洋標準時 (米国およびカナダ) Daylight saving
-6,(UTC-06:00) 中部標準時 (米国およびカナダ)
-5,(UTC-05:00) 東部標準時 (米国およびカナダ)
-4,(UTC-04:00) 大西洋標準時 (カナダ)
-3,(UTC-03:00) ブエノスアイレス
-2,(UTC-02:00) 協定世界時-02
-1,(UTC-01:00) アゾレス諸島
0,(UTC+00:00) 協定世界時
1,(UTC+01:00) アムステルダム、ベルリン、ベルン、ローマ、ストックホルム、ウィーン
2,(UTC+02:00) ヨハネスブルグ
3,(UTC+03:00) ヘルシンキ、キエフ、リガ、ソフィア、タリン、ビリニュス
5,(UTC+05:00) イスラマバード、カラチ
5,(UTC+05:00) エカテリンブルグ
5.5,(UTC+05:30) チェンナイ、コルカタ、ムンバイ、ニューデリー
5.75,(UTC+05:45) カトマンズ
6,(UTC+06:00) ダッカ
6.5,(UTC+06:30) ヤンゴン (ラングーン)
7,(UTC+07:00) バンコク、ハノイ、ジャカルタ
8,(UTC+08:00) クアラルンプール、シンガポール
9,(UTC+09:00) 大阪、札幌、東京
9.5,(UTC+09:30) アデレード
10,(UTC+10:00) キャンベラ、メルボルン、シドニー
11,(UTC+11:00) ソロモン諸島、ニューカレドニア
12,(UTC+12:00) オークランド、ウェリントン
12.75,(UTC+12:45) チャタム諸島
13,(UTC+13:00) サモア
14,(UTC+14:00) クリスマス島
